Kilom√©trage,Prix,Cluster
46452.0,12099.0,0
66045.0,13499.0,2
44735.0,13599.0,0
11309.0,19399.0,0
48945.0,16499.0,0
80949.0,21999.0,2
28734.0,16499.0,0
71621.0,12499.0,2
20835.0,17899.0,0
53277.0,12099.0,0
48390.0,17799.0,0
38963.0,31499.0,1
61937.0,13999.0,2
12364.0,22999.0,0
77239.0,12499.0,2
3235.0,32499.0,1
5113.0,24999.0,1
78361.0,15999.0,2
8741.0,33299.0,1
42055.0,14799.0,0
61791.0,18299.0,2
65685.0,17999.0,2
49850.0,11999.0,0
12900.0,17999.0,0
5235.0,24999.0,1
97011.0,19499.0,2
42659.0,15999.0,0
12599.0,25199.0,1
13340.0,25699.0,1
61324.0,16999.0,2
45457.0,20699.0,0
42039.0,20799.0,0
12930.0,28999.0,1
13954.0,22399.0,0
68731.0,9999.0,2
122790.0,17399.0,2
21286.0,26999.0,1
6242.0,32399.0,1
52711.0,12499.0,0
73285.0,14599.0,2
6147.0,23899.0,1
29165.0,20499.0,0
9855.0,31899.0,1
1237.0,22999.0,0
3785.0,22999.0,0
22725.0,22099.0,0
90260.0,11299.0,2
78379.0,10999.0,2
30934.0,12999.0,0
16220.0,17999.0,0
29399.0,18999.0,0
4664.0,20399.0,0
15494.0,17999.0,0
4545.0,32499.0,1
63797.0,18899.0,2
84845.0,10999.0,2
23068.0,17999.0,0
98450.0,12299.0,2
111224.0,17299.0,2
60990.0,15999.0,2
440.0,28999.0,1
67738.0,14499.0,2
14318.0,17999.0,0
19638.0,27699.0,1
17043.0,20999.0,0
5084.0,32399.0,1
72038.0,12299.0,2
7587.0,20399.0,0
49257.0,11999.0,0
95282.0,19799.0,2
24167.0,23499.0,0
14760.0,14499.0,0
59915.0,20999.0,0
9745.0,30899.0,1
13850.0,19399.0,0
4706.0,27499.0,1
23299.0,32699.0,1
10444.0,31999.0,1
90232.0,16499.0,2
34216.0,14999.0,0
20170.0,18599.0,0
24765.0,37299.0,1
51669.0,22199.0,0
28993.0,19499.0,0
52643.0,16999.0,0
43994.0,13799.0,0
76746.0,18999.0,2
3824.0,33499.0,1
3905.0,9299.0,0
22514.0,14199.0,0
17068.0,17999.0,0
102170.0,11299.0,2
12092.0,19399.0,0
3062.0,33499.0,1
44438.0,18499.0,0
126043.0,14299.0,2
20189.0,17499.0,0
84740.0,11699.0,2
57755.0,19999.0,0
66024.0,19499.0,2
49592.0,23999.0,0
10730.0,25799.0,1
4891.0,20399.0,0
4090.0,28999.0,1
1608.0,33499.0,1
71537.0,18999.0,2
98458.0,19299.0,2
51565.0,14199.0,0
20868.0,19199.0,0
63810.0,11499.0,2
55487.0,11999.0,2
17899.0,18399.0,0
3941.0,29499.0,1
16394.0,17999.0,0
4078.0,29499.0,1
18199.0,19399.0,0
95437.0,17799.0,2
25480.0,17199.0,0
20898.0,17699.0,0
20344.0,17699.0,0
3980.0,29499.0,1
67780.0,18299.0,2
11304.0,18399.0,0
79550.0,13499.0,2
35995.0,24999.0,1
29228.0,17999.0,0
19631.0,26799.0,1
8356.0,22999.0,0
5638.0,33299.0,1
57881.0,22499.0,0
71181.0,16499.0,2
82796.0,11999.0,2
10850.0,31999.0,1
7515.0,29399.0,1
86666.0,18499.0,2
124470.0,16699.0,2
20420.0,21699.0,0
45217.0,13999.0,0
68525.0,11399.0,2
3151.0,33499.0,1
19185.0,21999.0,0
3726.0,33499.0,1
41050.0,14999.0,0
35760.0,26999.0,1
21942.0,17199.0,0
41654.0,27199.0,1
76143.0,18299.0,2
28498.0,33199.0,1
20271.0,20999.0,0
93223.0,17999.0,2
33570.0,23999.0,0
4201.0,28999.0,1
120282.0,15999.0,2
11978.0,27999.0,1
43315.0,19999.0,0
11.0,32299.0,1
108438.0,15299.0,2
15430.0,18699.0,0
64460.0,12499.0,2
21691.0,18699.0,0
21249.0,18699.0,0
5735.0,33499.0,1
5590.0,27499.0,1
46265.0,22799.0,0
52374.0,22499.0,0
14665.0,26999.0,1
21649.0,35099.0,1
90209.0,16299.0,2
5425.0,27499.0,1
62444.0,26099.0,1
4577.0,28999.0,1
4930.0,29999.0,1
7015.0,27499.0,1
50530.0,15499.0,0
13425.0,19299.0,0
47225.0,24499.0,0
82610.0,21499.0,2
109385.0,15499.0,2
29000.0,23999.0,0
100000.0,16999.0,2
5327.0,32399.0,1
7432.0,32399.0,1
135150.0,14999.0,2
21183.0,17499.0,0
110200.0,18799.0,2
42980.0,15299.0,0
29789.0,27499.0,1
7165.0,27499.0,1
49613.0,21999.0,0
87280.0,12599.0,2
78068.0,18499.0,2
75464.0,18999.0,2
118539.0,18399.0,2
60185.0,23799.0,0
60830.0,21999.0,0
61019.0,11499.0,2
62952.0,18499.0,2
36224.0,29799.0,1
58315.0,19499.0,0
99430.0,15499.0,2
19600.0,23399.0,0
38863.0,15499.0,0
71336.0,18799.0,2
38316.0,17299.0,0
133867.0,10999.0,2
79856.0,16199.0,2
47740.0,17799.0,0
68135.0,18799.0,2
45200.0,22999.0,0
68246.0,17999.0,2
46551.0,16499.0,0
46105.0,18999.0,0
76964.0,19699.0,2
20314.0,22899.0,0
12775.0,15699.0,0
84898.0,17999.0,2
61925.0,9499.0,2
91989.0,15999.0,2
98362.0,21999.0,2
41153.0,34499.0,1
74901.0,18699.0,2
57911.0,21999.0,0
21615.0,26999.0,1
52425.0,17399.0,0
26544.0,24799.0,1
54605.0,30399.0,1
14090.0,25499.0,1
102956.0,19199.0,2
77770.0,22999.0,2
41617.0,22999.0,0
70124.0,18099.0,2
13924.0,11199.0,0
4295.0,27499.0,1
65092.0,38999.0,1
52760.0,20799.0,0
85428.0,21999.0,2
55221.0,18599.0,0
19223.0,22499.0,0
93123.0,8399.0,2
9229.0,26999.0,1
12300.0,30999.0,1
9000.0,29399.0,1
11610.0,24699.0,1
42000.0,22999.0,0
89206.0,14999.0,2
41860.0,30999.0,1
41075.0,23999.0,0
50259.0,22999.0,0
60898.0,26699.0,1
56070.0,9799.0,2
24145.0,23499.0,0
51804.0,20499.0,0
32850.0,32499.0,1
20370.0,36899.0,1
38330.0,25999.0,1
60426.0,12999.0,2
12335.0,19299.0,0
70652.0,14199.0,2
6349.0,12499.0,0
14700.0,23199.0,0
43115.0,11999.0,0
14564.0,32899.0,1
135844.0,10699.0,2
45.0,31299.0,1
49907.0,42499.0,1
20215.0,37999.0,1
5545.0,26499.0,1
24131.0,18999.0,0
12880.0,33499.0,1
45754.0,23499.0,0
79533.0,10999.0,2
11075.0,23999.0,1
54742.0,18999.0,0
58967.0,18799.0,0
43992.0,21199.0,0
19354.0,37499.0,1
6424.0,24999.0,1
25633.0,14499.0,0
20612.0,10599.0,0
38961.0,22999.0,0
33811.0,16999.0,0
42001.0,23499.0,0
43012.0,28099.0,1
26000.0,32499.0,1
29176.0,21899.0,0
79565.0,12499.0,2
60840.0,32999.0,1
41732.0,22499.0,0
54052.0,9599.0,2
37624.0,12299.0,0
54759.0,20399.0,0
14576.0,23999.0,1
25650.0,30799.0,1
48534.0,20599.0,0
27973.0,22499.0,0
16625.0,36999.0,1
48362.0,20699.0,0
22898.0,16499.0,0
30742.0,21299.0,0
107898.0,19499.0,2
102735.0,13999.0,2
25380.0,30799.0,1
15248.0,28699.0,1
27679.0,27399.0,1
4060.0,22999.0,0
38674.0,36999.0,1
36184.0,19499.0,0
7976.0,35399.0,1
26864.0,21599.0,0
47619.0,30699.0,1
30878.0,22899.0,0
14650.0,22999.0,0
71598.0,23999.0,2
19215.0,27499.0,1
34075.0,21999.0,0
23122.0,21699.0,0
18425.0,22999.0,0
17681.0,27499.0,1
31830.0,21499.0,0
97199.0,14299.0,2
23480.0,30980.0,1
60025.0,18999.0,0
18098.0,22399.0,0
37140.0,11999.0,0
7695.0,35799.0,1
9345.0,18999.0,0
22716.0,21399.0,0
16950.0,38999.0,1
1550.0,37999.0,1
36450.0,30999.0,1
68077.0,13999.0,2
7002.0,17499.0,0
10.0,32299.0,1
58275.0,20699.0,0
54867.0,6799.0,2
83153.0,12699.0,2
56480.0,17299.0,0
47920.0,11599.0,0
46958.0,11899.0,0
26450.0,32899.0,1
6502.0,20999.0,0
35500.0,26399.0,1
34384.0,9499.0,0
18720.0,38799.0,1
146170.0,12999.0,2
13195.0,34299.0,1
58375.0,29999.0,1
20919.0,13499.0,0
59592.0,18799.0,0
3530.0,40799.0,1
51630.0,13999.0,0
60488.0,22999.0,0
19328.0,17999.0,0
54161.0,19999.0,0
31704.0,31799.0,1
22200.0,33999.0,1
42132.0,22899.0,0
23060.0,28999.0,1
30775.0,14799.0,0
10.0,34299.0,1
21946.0,31399.0,1
47716.0,30699.0,1
8270.0,30999.0,1
73407.0,13999.0,2
17285.0,21499.0,0
17482.0,20999.0,0
88542.0,25999.0,2
19240.0,34999.0,1
12220.0,14499.0,0
18675.0,21999.0,0
4675.0,35499.0,1
40325.0,16499.0,0
35268.0,12199.0,0
19380.0,25999.0,1
41192.0,15999.0,0
28650.0,37999.0,1
43225.0,12299.0,0
56669.0,17299.0,0
72852.0,10499.0,2
49205.0,31699.0,1
36657.0,12999.0,0
61923.0,22999.0,0
4845.0,24399.0,1
35365.0,32499.0,1
12008.0,12499.0,0
29806.0,12999.0,0
15285.0,30799.0,1
47885.0,24999.0,1
99053.0,14799.0,2
17300.0,38999.0,1
114150.0,10999.0,2
4992.0,27999.0,1
59820.0,25499.0,1
82081.0,22499.0,2
30372.0,23099.0,0
4000.0,28999.0,1
44470.0,12999.0,0
44228.0,30799.0,1
15876.0,15699.0,0
37572.0,33499.0,1
1135.0,17999.0,0
71019.0,30699.0,1
27783.0,39499.0,1
29945.0,35499.0,1
22610.0,39499.0,1
100907.0,15999.0,2
11836.0,14999.0,0
8175.0,12999.0,0
17680.0,37899.0,1
23475.0,17999.0,0
88690.0,25099.0,2
124193.0,20999.0,2
59030.0,14999.0,2
12129.0,13799.0,0
40450.0,13999.0,0
20495.0,29899.0,1
24300.0,37499.0,1
26250.0,38199.0,1
10833.0,11599.0,0
5396.0,28399.0,1
45938.0,12299.0,0
55730.0,16599.0,0
107060.0,13999.0,2
18260.0,37699.0,1
12913.0,31499.0,1
32215.0,12499.0,0
56586.0,33999.0,1
31035.0,13499.0,0
9630.0,12999.0,0
12235.0,15999.0,0
20092.0,32399.0,1
21475.0,23817.0,1
111885.0,10299.0,2
11954.0,13799.0,0
12037.0,13999.0,0
47625.0,15499.0,0
17586.0,14999.0,0
18980.0,33999.0,1
98800.0,16999.0,2
15465.0,33299.0,1
82360.0,18999.0,2
71913.0,39199.0,1
61695.0,20999.0,0
103015.0,22799.0,2
127018.0,11499.0,2
19416.0,13699.0,0
48769.0,14499.0,0
39763.0,12899.0,0
12331.0,21499.0,0
26510.0,25999.0,1
8937.0,21999.0,0
42240.0,19499.0,0
23000.0,20199.0,0
139670.0,18999.0,2
13280.0,14999.0,0
110835.0,10499.0,2
14900.0,33899.0,1
26262.0,13999.0,0
8448.0,17999.0,0
103008.0,14799.0,2
6419.0,24499.0,1
5875.0,27499.0,1
104770.0,12799.0,2
11151.0,24399.0,1
9504.0,16199.0,0
112796.0,16999.0,2
59930.0,22999.0,0
4142.0,39999.0,1
47728.0,27799.0,1
41290.0,30999.0,1
137225.0,13999.0,2
18.0,25099.0,1
3990.0,28399.0,1
5805.0,24199.0,1
70453.0,12999.0,2
17085.0,10499.0,0
46053.0,26099.0,1
116694.0,22699.0,2
66186.0,22699.0,2
57769.0,14999.0,0
104062.0,23999.0,2
49425.0,21999.0,0
133175.0,14999.0,2
141096.0,17799.0,2
42150.0,29999.0,1
108200.0,14999.0,2
42025.0,15999.0,0
45460.0,19799.0,0
99281.0,10799.0,2
99386.0,21999.0,2
4585.0,24399.0,1
16368.0,31399.0,1
26579.0,31399.0,1
14810.0,20999.0,0
49170.0,22299.0,0
42475.0,13499.0,0
6210.0,27999.0,1
126640.0,12999.0,2
49985.0,18999.0,0
3975.0,28399.0,1
123367.0,12499.0,2
46105.0,15799.0,0
70718.0,27399.0,1
57553.0,17999.0,0
108446.0,15499.0,2
74598.0,11799.0,2
14468.0,24399.0,1
32083.0,15499.0,0
47222.0,16999.0,0
74234.0,19399.0,2
91611.0,18499.0,2
82513.0,15999.0,2
51744.0,18699.0,0
10205.0,31499.0,1
47045.0,12499.0,0
109553.0,13999.0,2
15636.0,16199.0,0
961.0,30999.0,1
9538.0,46475.0,1
110045.0,9499.0,2
107687.0,22999.0,2
105325.0,10999.0,2
30889.0,16999.0,0
45239.0,14499.0,0
123250.0,12699.0,2
10052.0,22999.0,0
106798.0,18999.0,2
24014.0,8999.0,0
43390.0,6999.0,0
28310.0,13999.0,0
104263.0,18999.0,2
3318.0,27999.0,1
80510.0,20799.0,2
23396.0,15799.0,0
51800.0,14999.0,0
87624.0,17499.0,2
87309.0,11199.0,2
145845.0,12199.0,2
109145.0,10499.0,2
5498.0,27999.0,1
51425.0,12999.0,0
35193.0,7299.0,0
120994.0,12999.0,2
55622.0,16499.0,0
21362.0,29499.0,1
111883.0,10499.0,2
72810.0,15999.0,2
119686.0,14699.0,2
80729.0,13599.0,2
32216.0,30499.0,1
60265.0,15999.0,2
9635.0,11299.0,0
7536.0,30999.0,1
7610.0,24499.0,1
24760.0,19999.0,0
64105.0,17799.0,2
75795.0,13999.0,2
78265.0,20999.0,2
47442.0,31399.0,1
19660.0,33999.0,1
45183.0,21999.0,0
55503.0,15799.0,0
30867.0,26299.0,1
43984.0,6999.0,0
107522.0,13499.0,2
35095.0,20699.0,0
69615.0,12799.0,2
53880.0,29999.0,1
71395.0,16199.0,2
21858.0,17499.0,0
72714.0,15799.0,2
69397.0,18299.0,2
108750.0,21799.0,2
4123.0,25499.0,1
4860.0,37899.0,1
62425.0,16999.0,2
27332.0,20699.0,0
9465.0,37699.0,1
34473.0,18299.0,0
72583.0,30999.0,1
64161.0,23999.0,0
111535.0,13499.0,2
10667.0,25399.0,1
75952.0,14999.0,2
62985.0,17499.0,2
84580.0,15999.0,2
62143.0,22499.0,0
52903.0,18999.0,0
32476.0,22699.0,0
30045.0,22199.0,0
19655.0,22499.0,0
83450.0,17999.0,2
17570.0,35999.0,1
76446.0,12499.0,2
59094.0,20099.0,0
36290.0,30499.0,1
15778.0,33399.0,1
25604.0,24799.0,1
14008.0,29899.0,1
46460.0,22499.0,0
121230.0,12999.0,2
35589.0,15799.0,0
56105.0,18799.0,0
20761.0,32999.0,1
95806.0,16499.0,2
28544.0,13999.0,0
130217.0,15499.0,2
17086.0,36499.0,1
30466.0,25799.0,1
101225.0,14299.0,2
39505.0,13499.0,0
78322.0,20999.0,2
31237.0,13299.0,0
32483.0,14999.0,0
45851.0,18999.0,0
31155.0,12999.0,0
81250.0,18999.0,2
71114.0,15199.0,2
105900.0,15499.0,2
51360.0,15999.0,0
50333.0,28599.0,1
56408.0,9799.0,2
67099.0,28999.0,1
64390.0,12499.0,2
99182.0,12499.0,2
91771.0,14999.0,2
69563.0,15499.0,2
130942.0,13799.0,2
10890.0,24999.0,1
13578.0,11499.0,0
9240.0,46899.0,1
36505.0,21499.0,0
18290.0,34899.0,1
69350.0,17299.0,2
105893.0,14999.0,2
34230.0,21499.0,0
12000.0,44999.0,1
28158.0,32999.0,1
80335.0,23499.0,2
25873.0,27399.0,1
92925.0,14499.0,2
111357.0,13499.0,2
17516.0,45999.0,1
61913.0,18499.0,2
85481.0,10999.0,2
35943.0,19999.0,0
40045.0,9499.0,0
100668.0,14799.0,2
49839.0,27999.0,1
49955.0,15399.0,0
69850.0,12999.0,2
32085.0,9999.0,0
14370.0,33499.0,1
65960.0,14999.0,2
73715.0,13499.0,2
58487.0,13499.0,2
54903.0,23499.0,0
27753.0,33999.0,1
23892.0,24299.0,1
20210.0,32899.0,1
472.0,17199.0,0
56446.0,18499.0,0
2978.0,21999.0,0
58570.0,12999.0,2
86283.0,18499.0,2
71330.0,30799.0,1
12527.0,37499.0,1
12.0,27999.0,1
6968.0,33999.0,1
67695.0,15799.0,2
16158.0,33299.0,1
55919.0,18499.0,0
76050.0,8799.0,2
18639.0,27999.0,1
26350.0,33999.0,1
91428.0,15999.0,2
11030.0,37499.0,1
15585.0,19499.0,0
120209.0,15499.0,2
121706.0,14499.0,2
68670.0,15499.0,2
116965.0,13999.0,2
10.0,29599.0,1
13013.0,24999.0,1
106072.0,15299.0,2
94260.0,12499.0,2
56612.0,26999.0,1
41634.0,30499.0,1
61278.0,12999.0,2
43677.0,18999.0,0
42959.0,32999.0,1
34969.0,16499.0,0
45102.0,17499.0,0
34280.0,21999.0,0
3876.0,25399.0,1
9075.0,20499.0,0
80308.0,14299.0,2
110217.0,9499.0,2
56594.0,23799.0,0
23243.0,26299.0,1
24450.0,20999.0,0
54030.0,15299.0,0
86115.0,25999.0,2
26430.0,33899.0,1
20185.0,16499.0,0
21185.0,37999.0,1
5038.0,25399.0,1
19798.0,37499.0,1
5602.0,27999.0,1
68667.0,12299.0,2
30043.0,29599.0,1
29082.0,8299.0,0
45625.0,29699.0,1
119122.0,20499.0,2
83640.0,33999.0,1
18260.0,25999.0,1
28376.0,18099.0,0
17925.0,21299.0,0
126300.0,22499.0,2
1931.0,25399.0,1
6258.0,25499.0,1
21031.0,23299.0,0
22622.0,44499.0,1
51250.0,29999.0,1
12801.0,42999.0,1
22961.0,18999.0,0
32788.0,15099.0,0
29086.0,27699.0,1
54368.0,20499.0,0
62720.0,25999.0,1
85500.0,24299.0,2
81917.0,8499.0,2
13283.0,27799.0,1
89310.0,16499.0,2
60432.0,9999.0,2
79071.0,18499.0,2
19350.0,23999.0,1
36619.0,16799.0,0
84510.0,15699.0,2
12358.0,10999.0,0
73564.0,22799.0,2
45950.0,13999.0,0
10532.0,15499.0,0
43658.0,19599.0,0
62306.0,18499.0,2
60900.0,9299.0,2
12827.0,27499.0,1
33565.0,18799.0,0
52840.0,21999.0,0
8643.0,28999.0,1
19834.0,16699.0,0
45364.0,23399.0,0
100642.0,27999.0,2
11165.0,20999.0,0
27098.0,18499.0,0
44407.0,14699.0,0
6155.0,14799.0,0
111998.0,14299.0,2
66168.0,15999.0,2
7037.0,24499.0,1
115264.0,13999.0,2
34515.0,17799.0,0
36564.0,20499.0,0
2905.0,44499.0,1
37625.0,15499.0,0
77600.0,10299.0,2
8372.0,25399.0,1
